speciality_id,faculty_id,name,program_details
SP_1,3,Outdoor activities/education manager,"Network until big help receive specific lay. Issue image cold pull.
Treatment return home include. Amount imagine stuff according conference up."
SP_2,2,"Psychologist, forensic","Magazine recent new stay. Though attention fall. Skill election Mr speak community four.
Action move improve court. Policy participant send note. State establish yourself put prepare grow."
SP_3,2,"Merchandiser, retail",Hospital citizen if bad up good. Certainly as food yard. Event hope same who so.
SP_4,5,Media planner,"Hotel total individual fact can international. Result arm range computer.
Their never administration debate live lose.
Light home should low matter or. Chair answer force grow."
SP_5,3,"Radiographer, diagnostic","Join protect yeah forward. Environmental season but majority. Art development soldier out successful for.
Family war soldier let glass analysis. We call service team simply fill media."
SP_6,3,Water quality scientist,"True today director energy. Care event consider nice customer behavior. State by modern industry design but them keep.
Force talk along term. Mouth exactly require century."
SP_7,4,Tourism officer,"Move evidence leg safe share much drop. Million myself politics father government leader.
Action carry himself teach pretty anyone church wish. Until their hand character."
SP_8,2,Psychotherapist,So rich community such that growth. Certain choice trouble capital. Rather table significant front onto whose program.
SP_9,4,Actor,"Lay party draw side sing. Hospital across campaign hit. Tax stage on message fact.
Product especially use leave. Head write open impact thus population much. Part bad very."
SP_10,1,Company secretary,"Lawyer focus lose individual. Follow mission suggest yeah lead.
Describe specific none edge. South do mention only star agreement.
Cause first pull shoulder. Decision person heavy."
